Vfamily	PROTISTS	PROKARYOTES	INVERTEBRATES	VERTEBRATES	PLANTS	FUNGI	VIROPHAGE
Fusariviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Artoviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Pervagoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Arteriviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Grimontviridae							
Togaviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Hypoviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Botourmiaviridae	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Atkinsviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Pachyviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Anaerodiviridae							
Gresnaviridae							
Inoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Forsetiviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Sphaerolipoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Hadakaviridae							
Matshushitaviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Portogloboviridae							
Qinviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Bornaviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Globuloviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Filoviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Endornaviridae	1.0	0.0	0.0	0.0	1.0	1.0	0.0
Turriviridae							
Plectroviridae							
Polycipiviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Tristromaviridae							
Naomviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Anicreviridae							
Kleczkowskaviridae							
Blumeviridae							
Hantaviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Virgaviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Berryhillviridae							
Staphylococcaceae							
Iflaviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Secoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Sedoreoviridae	0.0	0.0	1.0	1.0	1.0	0.0	0.0
Suoliviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Hodgkinviridae							
Adamaviridae							
Vertoviridae							
Corticoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Chrysoviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Astroviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Molycolviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Assiduviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Arenaviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Rudiviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Tosoviridae							
Halomagnusviridae							
Adintoviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Tectiviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Hafunaviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacilladnaviridae	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Itzamnaviridae							
Picobirnaviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Autonotataviridae							
Roniviridae							
Ahpuchviridae							
Yadokariviridae							
Genomoviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Deltaflexiviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Aoguangviridae							
Solspiviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Fuselloviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Alphasatellitidae							
Paulinoviridae							
Aliusviridae							
Orthomyxoviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Soleiviridae							
Xinmoviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Inseviridae							
Yaraviridae							
Muridae							
Graaviviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Mesoniviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Pseudototiviridae							
Amalgaviridae	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Nenyaviridae							
Phypoliviridae							
Euroniviridae							
Sinhaliviridae							
Pneumoviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Orlajensenviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Salasmaviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Mymonaviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Nodaviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Mononiviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Birnaviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Haloferuviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Gammaflexiviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Fimoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Lavidaviridae	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Clavaviridae							
Lispiviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Nanoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Smacoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Lactobacillaceae							
Permutotetraviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Vilyaviridae	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Nyamiviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Methanobacteriaceae							
Saparoviridae							
Benyviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Suolaviridae							
Olifoviridae							
Nanhypoviridae							
Mahapunaviridae							
Trautnerviridae							
Simuloviridae							
Bidnaviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Kolmioviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Shortaselviridae							
Alternaviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Alvernaviridae							
Madisaviridae							
Partitiviridae	1.0	0.0	0.0	0.0	1.0	1.0	0.0
Cremegaviridae							
Tospoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Megabirnaviridae	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Crevaviridae							
Ungulaviridae							
Mayoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Aspiviridae							
Chaacviridae							
Rountreeviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
